STATEFIPS,STATE,CONG_DISTRICT,agi_stub,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,VRTCRIND,N2,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00400,A00400,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N25870,A25870,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N10600,A10600,N59660,A59660,N59661,A59661,N59662,A59662,N59663,A59663,N59664,A59664,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
00,US,00,0,156342760.00,78053190.000,53739670.000,20765910.000,145549520.00,5637700.0000,82962680.000,95768910.000,2746810.0000,287915530.00,2486590.0000,1416290.0000,1071900.0000,291960.0000,21318370.000,41595170.000,14424810411,155382100.00,14563729478,125111730.00,9493040700.0,48547160.000,123790578.00,6719610.0000,52418100.000,32043660.000,385116075.00,30032560.000,290612997.00,2970020.0000,3655129.0000,29730520.000,412013047.00,29845710.000,1157234600.0,16227430.000,427582079.00,29501160.000,884524169.00,1769362.0303,4573040.0000,29336279.000,24167050.000,450779980.00,9388080.0000,996633005.00,9199750.0000,82802445.000,33153720.000,138919067.00,3647110.0000,1084587.0000,958670.0000,28986660.000,3659410.0000,30869855.000,2347180.0000,12520736.000,3844050.0000,3680267.0000,138889790.00,2545798792.0,138889690.00,2490012621.0,26498520.000,55782356.000,15003640.000,628185667.00,4639697889.0,3833220.0000,78141531.000,10842580.000,250437565.00,3517740.0000,8100838.0000,12761330.000,104783475.00,5610100.0000,4498042.0000,14777040.000,121189294.00,14817010.000,123370088.00,11352500.000,140135155.00,266140.0000,2583705.0000,735730.0000,1014806.0000,802090.0000,19977693.000,11942900.000,206125159.00,998600.0000,47404752.000,25015040.000,208335245.00,126243600.00,11372914850,126239280.00,2183251659.0,170950.0000,3391437.0000,4974890.0000,6767806.0000,57607940.000,131429066.00,10815380.000,17981082.000,5599750.0000,3428934.0000,7366570.0000,7723835.0000,9060320.0000,1761003.0000,37460560.000,81592508.000,3176260.0000,7786986.0000,21791700.000,79540987.000,7713000.0000,53073341.000,8393760.0000,59738426.000,145915640.00,2392024943.0,23266630.000,58124026.000,6589240.0000,2397918.0000,8232160.0000,20580217.000,5414870.0000,21519150.000,3025000.0000,13600954503,19929200.000,48939919.000,17312260.000,33069038.000,5835350.0000,5075883.0000,2294640.0000,2351990.0000,111637060.00,2050683698.0,121275340.00,2191736663.0,6848330.0000,14191851.000,6942820.0000,37666026.000,40884880.000,274803790.00,109387240.00,471836048.00,106078850.00,345395988.00,4345650.0000,125251660.00
01,AL,00,0,2104760.0000,940770.0000,740590.0000,372720.0000,1962190.0000,67540.0000,1156400.0000,1361670.0000,24480.0000,4044960.0000,32120.0000,20880.0000,11310.0000,3840.0000,414400.0000,557860.0000,155781468.00,2091330.0000,157126909.00,1697310.0000,104399472.00,564010.0000,984094.0000,53300.0000,347013.0000,303300.0000,2721031.0000,280540.0000,2089479.0000,57330.0000,70550.0000,417610.0000,3971266.0000,282420.0000,8311199.0000,194300.0000,4492763.0000,445790.0000,12771097.000,42875.0000,27860.0000,102996.0000,354420.0000,6184453.0000,100790.0000,11765936.000,94500.0000,536109.0000,415470.0000,1345441.0000,47880.0000,14095.0000,6770.0000,180136.0000,39270.0000,328734.0000,23920.0000,120549.0000,44370.0000,44129.0000,1918870.0000,35955998.000,1918870.0000,35185625.000,364470.0000,770256.0000,154230.0000,6200438.0000,40742799.000,45680.0000,759742.0000,123510.0000,1431546.0000,23830.0000,47259.0000,121490.0000,365304.0000,95980.0000,50497.0000,149570.0000,994030.0000,150290.0000,1025791.0000,106320.0000,1062029.0000,1700.0000,13579.0000,5300.0000,5253.0000,7370.0000,86999.0000,135880.0000,2712401.0000,11660.0000,379054.0000,264730.0000,2334561.0000,1655920.0000,115007102.00,1660200.0000,20046755.000,1220.0000,18260.0000,66610.0000,82375.0000,793550.0000,1798318.0000,85580.0000,324097.0000,90750.0000,55251.0000,114540.0000,121036.0000,147730.0000,29579.0000,555670.0000,1107553.0000,45450.0000,73630.0000,282460.0000,893901.0000,133600.0000,1185656.0000,141190.0000,1283251.0000,1982870.0000,22493046.000,430290.0000,1231886.0000,92930.0000,34871.0000,169690.0000,448385.0000,112180.0000,478696.0000,55360.0000,269449236.00,387110.0000,1082952.0000,322350.0000,609773.0000,102060.0000,91643.0000,29780.0000,29384.0000,1401650.0000,18205400.000,1544980.0000,19535340.000,48980.0000,81428.0000,56700.0000,239655.0000,511220.0000,2970897.0000,1522890.0000,5878530.0000,1490600.0000,4978892.0000,40970.0000,879547.0000
01,AL,00,1,31530.0000,20450.0000,8790.0000,1370.0000,22480.0000,3590.0000,18040.0000,10490.0000,410.0000,45360.0000,290.0000,260.0000,30.0000,0.0000,2190.0000,13450.0000,-1042232.000,18120.0000,-1024370.000,4970.0000,209675.0000,7340.0000,16040.0000,610.0000,2163.0000,4020.0000,20941.0000,3670.0000,14056.0000,130.0000,225.0000,10260.0000,-276495.0000,5780.0000,60025.0000,1650.0000,18203.0000,2890.0000,42130.0000,2822.0000,130.0000,651.0000,0.0000,0.0000,3800.0000,-461443.0000,3090.0000,-24476.0000,3460.0000,17862.0000,0.0000,0.0000,0.0000,0.0000,940.0000,6040.0000,100.0000,560.0000,350.0000,432.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1370.0000,416.0000,0.0000,0.0000,1330.0000,287.0000,220.0000,48.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.0000,17.0000,0.0000,0.0000,2080.0000,5331.0000,4520.0000,54402.0000,4830.0000,56227.0000,15620.0000,75998.0000,1500.0000,1971.0000,950.0000,316.0000,230.0000,542.0000,60.0000,246.0000,20.0000,74793.0000,1000.0000,1351.0000,1030.0000,2938.0000,1530.0000,1428.0000,1510.0000,1886.0000,1120.0000,346.0000,3710.0000,6937.0000,30.0000,31.0000,0.0000,0.0000,2390.0000,3080.0000,14860.0000,72093.0000,14370.0000,60560.0000,570.0000,7501.0000
01,AL,00,2,213580.0000,167210.0000,20650.0000,22480.0000,190840.0000,11260.0000,103430.0000,128070.0000,1600.0000,225680.0000,5660.0000,3570.0000,2120.0000,1220.0000,32240.0000,49270.0000,1140289.0000,213560.0000,1166974.0000,146610.0000,910704.0000,33070.0000,14291.0000,1730.0000,3148.0000,15260.0000,23020.0000,13800.0000,14928.0000,560.0000,371.0000,44510.0000,80758.0000,13670.0000,4589.0000,11190.0000,50220.0000,22380.0000,118643.0000,2122.0000,2320.0000,8642.0000,1270.0000,3585.0000,2310.0000,-13644.0000,4180.0000,1295.0000,36800.0000,26685.0000,400.0000,103.0000,20.0000,145.0000,1960.0000,6523.0000,380.0000,1238.0000,1190.0000,1249.0000,211490.0000,2775103.0000,211490.0000,2697869.0000,38790.0000,77233.0000,2040.0000,41699.0000,10718.0000,1540.0000,27774.0000,710.0000,1391.0000,940.0000,854.0000,800.0000,1472.0000,670.0000,207.0000,1870.0000,3916.0000,1890.0000,4001.0000,660.0000,5234.0000,0.0000,0.0000,0.0000,0.0000,30.0000,43.0000,1050.0000,1801.0000,20.0000,196.0000,340.0000,88.0000,3850.0000,8662.0000,6750.0000,1856.0000,0.0000,0.0000,4130.0000,973.0000,2010.0000,321.0000,550.0000,21.0000,0.0000,0.0000,290.0000,53.0000,30.0000,2.0000,700.0000,167.0000,0.0000,0.0000,33710.0000,24985.0000,15650.0000,154066.0000,16440.0000,159793.0000,164140.0000,201125.0000,73610.0000,85031.0000,46540.0000,19669.0000,17520.0000,39093.0000,6740.0000,17974.0000,2910.0000,8608574.0000,64300.0000,73720.0000,22020.0000,17902.0000,9670.0000,8727.0000,3560.0000,2538.0000,5490.0000,1518.0000,40790.0000,27421.0000,0.0000,0.0000,0.0000,0.0000,23180.0000,11518.0000,153500.0000,185162.0000,152760.0000,183149.0000,890.0000,1520.0000
01,AL,00,3,429910.0000,244510.0000,49300.0000,128460.0000,405670.0000,11490.0000,235970.0000,345790.0000,2850.0000,737040.0000,8780.0000,5740.0000,3050.0000,1550.0000,132720.0000,88860.0000,7391717.0000,429910.0000,7501653.0000,330250.0000,5749092.0000,53430.0000,31250.0000,2810.0000,5953.0000,22060.0000,52586.0000,19830.0000,34975.0000,1460.0000,1006.0000,111280.0000,609452.0000,19900.0000,29362.0000,22440.0000,182203.0000,61150.0000,709186.0000,3936.0000,7690.0000,31715.0000,44150.0000,98060.0000,4730.0000,1348.0000,7700.0000,9515.0000,92220.0000,109936.0000,2480.0000,669.0000,0.0000,0.0000,3790.0000,12071.0000,1710.0000,5606.0000,3700.0000,4047.0000,424470.0000,7061827.0000,424470.0000,6926390.0000,67670.0000,135435.0000,5390.0000,124948.0000,97803.0000,4280.0000,73388.0000,2270.0000,4668.0000,2410.0000,2568.0000,2460.0000,4315.0000,2330.0000,824.0000,5040.0000,11294.0000,5110.0000,12462.0000,2070.0000,15264.0000,0.0000,0.0000,30.0000,46.0000,60.0000,50.0000,3640.0000,16991.0000,300.0000,3154.0000,27060.0000,18428.0000,232860.0000,1152770.0000,236460.0000,118224.0000,0.0000,0.0000,12810.0000,3658.0000,103430.0000,33559.0000,1910.0000,74.0000,5940.0000,1754.0000,20350.0000,9256.0000,28520.0000,5207.0000,50820.0000,16177.0000,2240.0000,970.0000,82170.0000,145149.0000,43820.0000,383049.0000,45600.0000,395164.0000,402790.0000,1530154.0000,202890.0000,769693.0000,45440.0000,14886.0000,80570.0000,289579.0000,51800.0000,299774.0000,25100.0000,165453956.00,185440.0000,674800.0000,137670.0000,255373.0000,27860.0000,25660.0000,10080.0000,7536.0000,154560.0000,84666.0000,226280.0000,234392.0000,50.0000,54.0000,0.0000,0.0000,39250.0000,42488.0000,376950.0000,1337687.0000,375560.0000,1332531.0000,1830.0000,4504.0000
01,AL,00,4,522930.0000,270050.0000,99020.0000,137020.0000,489470.0000,13790.0000,266630.0000,384170.0000,4230.0000,933140.0000,10330.0000,7150.0000,3160.0000,1070.0000,138020.0000,114170.0000,19026367.000,522930.0000,19164957.000,445790.0000,15880105.000,85490.0000,53400.0000,4660.0000,13275.0000,36740.0000,98905.0000,32900.0000,66655.0000,4480.0000,3278.0000,79530.0000,267358.0000,32170.0000,75335.0000,31980.0000,356016.0000,92210.0000,1664898.0000,6089.0000,7970.0000,27032.0000,88300.0000,701083.0000,8310.0000,24681.0000,11910.0000,7534.0000,70010.0000,138590.0000,7410.0000,2048.0000,330.0000,2251.0000,5040.0000,21352.0000,5330.0000,18677.0000,10320.0000,11503.0000,505510.0000,8833152.0000,505510.0000,8670258.0000,78400.0000,162893.0000,17390.0000,448462.0000,661771.0000,11900.0000,167116.0000,8090.0000,19831.0000,5600.0000,8076.0000,7580.0000,12468.0000,7000.0000,3291.0000,14230.0000,39523.0000,14380.0000,46370.0000,6540.0000,47522.0000,120.0000,728.0000,230.0000,331.0000,170.0000,400.0000,14530.0000,133083.0000,2420.0000,47501.0000,45850.0000,73461.0000,513390.0000,9713139.0000,511060.0000,1058654.0000,0.0000,0.0000,25300.0000,15951.0000,249770.0000,290134.0000,7220.0000,489.0000,24980.0000,16493.0000,35580.0000,39308.0000,93070.0000,20009.0000,168460.0000,199449.0000,12110.0000,13266.0000,43080.0000,113452.0000,44620.0000,382180.0000,45580.0000,397279.0000,507450.0000,2079499.0000,145220.0000,369990.0000,0.0000,0.0000,71370.0000,119171.0000,50700.0000,159075.0000,23150.0000,91744196.000,130630.0000,328931.0000,124410.0000,259043.0000,25170.0000,22352.0000,10090.0000,10293.0000,371330.0000,768519.0000,395530.0000,892651.0000,120.0000,146.0000,0.0000,0.0000,97620.0000,128683.0000,421760.0000,1312546.0000,419250.0000,1302255.0000,3470.0000,9742.0000
01,AL,00,5,298840.0000,130260.0000,107580.0000,49460.0000,280500.0000,8670.0000,164110.0000,193790.0000,3520.0000,576910.0000,3920.0000,2370.0000,1570.0000,0.0000,54920.0000,85560.0000,18356151.000,298840.0000,18481982.000,251730.0000,14258617.000,80140.0000,58903.0000,5590.0000,18281.0000,37980.0000,133254.0000,34660.0000,92793.0000,7450.0000,6410.0000,46590.0000,316399.0000,33910.0000,121511.0000,29120.0000,439140.0000,73470.0000,1882809.0000,5711.0000,3650.0000,12916.0000,67520.0000,1157085.0000,9230.0000,71589.0000,12070.0000,7794.0000,54700.0000,125831.0000,10080.0000,2838.0000,170.0000,1650.0000,4160.0000,23456.0000,4710.0000,19907.0000,9440.0000,9873.0000,280880.0000,5416235.0000,280880.0000,5296071.0000,57500.0000,120163.0000,17970.0000,464919.0000,1127120.0000,9070.0000,144279.0000,13010.0000,40924.0000,4190.0000,7386.0000,12730.0000,21071.0000,10600.0000,5188.0000,17610.0000,69394.0000,17740.0000,76840.0000,11370.0000,86438.0000,230.0000,1172.0000,330.0000,497.0000,210.0000,808.0000,15270.0000,130607.0000,1360.0000,19872.0000,36720.0000,89344.0000,298230.0000,12400399.000,297530.0000,1484221.0000,0.0000,0.0000,11400.0000,17928.0000,128910.0000,276893.0000,9680.0000,853.0000,13640.0000,8235.0000,18840.0000,23874.0000,26110.0000,4361.0000,97290.0000,217279.0000,10780.0000,19663.0000,29030.0000,87486.0000,14730.0000,131201.0000,15310.0000,147981.0000,292740.0000,1702610.0000,7070.0000,5201.0000,0.0000,0.0000,0.0000,0.0000,2880.0000,1627.0000,4180.0000,3567717.0000,5740.0000,4150.0000,28020.0000,54787.0000,11870.0000,10758.0000,3000.0000,4193.0000,269060.0000,1207326.0000,276170.0000,1306545.0000,50.0000,47.0000,0.0000,0.0000,86400.0000,180098.0000,211640.0000,573644.0000,208510.0000,561472.0000,4150.0000,11782.0000
01,AL,00,6,189620.0000,54490.0000,111590.0000,18620.0000,178180.0000,5530.0000,109370.0000,112180.0000,2810.0000,422440.0000,1420.0000,710.0000,720.0000,0.0000,25900.0000,62590.0000,16433331.000,189620.0000,16541989.000,158430.0000,12178809.000,69360.0000,65470.0000,5530.0000,19605.0000,35610.0000,154426.0000,32770.0000,111937.0000,8210.0000,8145.0000,33300.0000,316331.0000,31880.0000,152958.0000,25060.0000,489911.0000,57410.0000,1857292.0000,5439.0000,2340.0000,8228.0000,50640.0000,1163366.0000,8840.0000,113560.0000,11390.0000,15839.0000,39150.0000,108658.0000,6600.0000,1953.0000,310.0000,3635.0000,3480.0000,23526.0000,2980.0000,15274.0000,6170.0000,5361.0000,172400.0000,3823393.0000,172400.0000,3732298.0000,41780.0000,91095.0000,17200.0000,463933.0000,1499876.0000,6350.0000,102376.0000,13640.0000,54841.0000,3120.0000,6517.0000,13480.0000,24219.0000,10890.0000,4928.0000,16990.0000,84341.0000,17120.0000,90797.0000,12260.0000,94262.0000,100.0000,627.0000,430.0000,609.0000,250.0000,681.0000,14860.0000,149122.0000,1190.0000,20180.0000,31140.0000,92862.0000,189430.0000,12057219.000,189120.0000,1559589.0000,0.0000,0.0000,5230.0000,12393.0000,83320.0000,227109.0000,9880.0000,1041.0000,11350.0000,7014.0000,12740.0000,15202.0000,0.0000,0.0000,67690.0000,185500.0000,6790.0000,14906.0000,22360.0000,76054.0000,5640.0000,47283.0000,6340.0000,60101.0000,186730.0000,1635590.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5760.0000,10775.0000,7960.0000,6800.0000,940.0000,1588.0000,183770.0000,1332481.0000,185550.0000,1420600.0000,0.0000,0.0000,0.0000,0.0000,66550.0000,187966.0000,122690.0000,399177.0000,119600.0000,384730.0000,3930.0000,13864.0000
01,AL,00,7,308870.0000,43910.0000,247200.0000,13260.0000,291400.0000,9360.0000,180830.0000,154880.0000,5870.0000,799760.0000,1580.0000,940.0000,660.0000,0.0000,25720.0000,102860.0000,42146318.000,308870.0000,42439964.000,265330.0000,30958973.000,153550.0000,188500.0000,15720.0000,68199.0000,89440.0000,546923.0000,83380.0000,410729.0000,24160.0000,31312.0000,62320.0000,918507.0000,82780.0000,799426.0000,50280.0000,1539648.0000,103150.0000,4360236.0000,11239.0000,3220.0000,12084.0000,77230.0000,2211476.0000,26690.0000,660752.0000,26020.0000,96610.0000,81150.0000,293646.0000,17390.0000,5468.0000,1510.0000,24147.0000,8170.0000,72232.0000,6570.0000,38260.0000,13200.0000,11664.0000,261500.0000,6448955.0000,261500.0000,6305210.0000,63010.0000,143744.0000,47370.0000,1533509.0000,6847014.0000,10310.0000,182761.0000,41580.0000,262396.0000,5170.0000,13235.0000,41180.0000,91871.0000,32490.0000,15259.0000,47060.0000,339312.0000,47230.0000,345180.0000,37210.0000,336765.0000,540.0000,3285.0000,1640.0000,2128.0000,1200.0000,4870.0000,42450.0000,580040.0000,2840.0000,72568.0000,71380.0000,323790.0000,308710.0000,33842126.000,308480.0000,4981259.0000,120.0000,809.0000,5180.0000,21265.0000,162310.0000,467468.0000,28430.0000,6092.0000,26660.0000,16809.0000,26740.0000,33343.0000,0.0000,0.0000,131890.0000,378401.0000,10650.0000,20452.0000,43630.0000,189214.0000,4620.0000,33475.0000,5850.0000,54672.0000,305410.0000,4854031.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2890.0000,7901.0000,18000.0000,15918.0000,600.0000,1350.0000,307000.0000,4513805.0000,307540.0000,4736692.0000,2760.0000,813.0000,890.0000,304.0000,134760.0000,611675.0000,173430.0000,720204.0000,164900.0000,651348.0000,11050.0000,68536.0000
01,AL,00,8,90050.0000,8000.0000,79450.0000,1760.0000,85080.0000,3210.0000,60530.0000,28900.0000,2520.0000,249700.0000,140.0000,140.0000,0.0000,0.0000,2660.0000,32940.0000,25333603.000,90050.0000,25628986.000,77990.0000,16326567.000,63880.0000,169587.0000,11080.0000,83666.0000,47390.0000,656103.0000,45160.0000,519163.0000,9820.0000,15929.0000,23230.0000,1018905.0000,46640.0000,1450551.0000,18660.0000,1083113.0000,29260.0000,1856069.0000,4018.0000,520.0000,1650.0000,20790.0000,687906.0000,23520.0000,1967677.0000,12380.0000,159397.0000,28140.0000,295383.0000,3390.0000,983.0000,2630.0000,74310.0000,7170.0000,92636.0000,1660.0000,15696.0000,0.0000,0.0000,56120.0000,1432631.0000,56120.0000,1398047.0000,15090.0000,34581.0000,33950.0000,1455727.0000,10063495.000,2170.0000,56371.0000,32050.0000,396877.0000,1720.0000,6214.0000,31290.0000,111721.0000,23940.0000,13812.0000,33880.0000,319594.0000,33910.0000,319993.0000,27390.0000,333475.0000,470.0000,3850.0000,1790.0000,1205.0000,2380.0000,14645.0000,31720.0000,627831.0000,1910.0000,85986.0000,39100.0000,482511.0000,90040.0000,21963381.000,90010.0000,4179831.0000,130.0000,1613.0000,1170.0000,9407.0000,53680.0000,144329.0000,19550.0000,11051.0000,7330.0000,4429.0000,0.0000,0.0000,0.0000,0.0000,38660.0000,110468.0000,2620.0000,4048.0000,19390.0000,151003.0000,0.0000,0.0000,1180.0000,11521.0000,88860.0000,4036006.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,550.0000,1054.0000,0.0000,0.0000,0.0000,0.0000,89930.0000,4035450.0000,90000.0000,4273819.0000,33700.0000,24140.0000,39270.0000,40568.0000,50670.0000,667404.0000,39140.0000,417851.0000,31570.0000,268355.0000,9400.0000,148033.0000
01,AL,00,9,19430.0000,1890.0000,17010.0000,290.0000,18570.0000,640.0000,17490.0000,3400.0000,670.0000,54930.0000,0.0000,0.0000,0.0000,0.0000,30.0000,8160.0000,26995924.000,19430.0000,27224774.000,16210.0000,7926930.0000,17750.0000,386653.0000,5570.0000,132723.0000,14800.0000,1034873.0000,14370.0000,824243.0000,1060.0000,3874.0000,6590.0000,720051.0000,15690.0000,5617442.0000,3920.0000,334309.0000,3870.0000,279834.0000,1499.0000,20.0000,78.0000,4520.0000,161892.0000,13360.0000,9401416.0000,5760.0000,262601.0000,9840.0000,228850.0000,130.0000,33.0000,1800.0000,73998.0000,4560.0000,70898.0000,480.0000,5331.0000,0.0000,0.0000,6500.0000,164702.0000,6500.0000,159482.0000,2230.0000,5112.0000,12920.0000,1667241.0000,20435002.000,60.0000,5677.0000,12160.0000,650618.0000,680.0000,2409.0000,11970.0000,98167.0000,8060.0000,6988.0000,12890.0000,126656.0000,12910.0000,130148.0000,8820.0000,143069.0000,240.0000,3917.0000,850.0000,437.0000,3070.0000,65502.0000,12360.0000,1072926.0000,1620.0000,129597.0000,13140.0000,1254077.0000,19410.0000,23869406.000,19420.0000,6662705.0000,970.0000,15838.0000,60.0000,513.0000,9900.0000,358457.0000,8360.0000,304476.0000,850.0000,517.0000,0.0000,0.0000,0.0000,0.0000,90.0000,95.0000,260.0000,325.0000,7010.0000,101227.0000,0.0000,0.0000,60.0000,513.0000,19130.0000,6378033.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19390.0000,6261289.0000,19410.0000,6636283.0000,12270.0000,56197.0000,16540.0000,198783.0000,10400.0000,1137985.0000,8920.0000,860166.0000,4080.0000,234492.0000,5680.0000,614065.0000
01,AL,01,0,315360.0000,144810.0000,106750.0000,55850.0000,292500.0000,10970.0000,174480.0000,200760.0000,3700.0000,597980.0000,5330.0000,3190.0000,2140.0000,640.0000,65820.0000,88880.0000,22915824.000,313210.0000,23132049.000,245880.0000,14683856.000,76770.0000,135822.0000,8160.0000,49994.0000,44890.0000,389708.0000,41220.0000,291367.0000,7430.0000,8999.0000,71670.0000,653214.0000,43350.0000,1452018.0000,31580.0000,772797.0000,66030.0000,1804455.0000,3996.0000,4770.0000,20561.0000,56350.0000,984319.0000,17640.0000,2003021.0000,17510.0000,106825.0000,70040.0000,216225.0000,7070.0000,2059.0000,1010.0000,25792.0000,6900.0000,54188.0000,3770.0000,19949.0000,7360.0000,7360.0000,289060.0000,5379844.0000,289060.0000,5254355.0000,59280.0000,125478.0000,21080.0000,918526.0000,5759768.0000,6630.0000,115233.0000,17150.0000,211218.0000,3210.0000,6796.0000,16090.0000,43458.0000,11990.0000,5747.0000,20610.0000,131188.0000,20770.0000,146954.0000,14340.0000,146558.0000,280.0000,2598.0000,650.0000,655.0000,1270.0000,15727.0000,18070.0000,347993.0000,1990.0000,73163.0000,45370.0000,381632.0000,244400.0000,16854448.000,246190.0000,2963068.0000,220.0000,2869.0000,14870.0000,17263.0000,114530.0000,215502.0000,13000.0000,6822.0000,12490.0000,7519.0000,15580.0000,16398.0000,18780.0000,3825.0000,80010.0000,155709.0000,7000.0000,9549.0000,50080.0000,151365.0000,25680.0000,216553.0000,27320.0000,236928.0000,294910.0000,3353135.0000,67980.0000,202256.0000,14650.0000,5581.0000,26530.0000,72209.0000,18040.0000,79937.0000,8760.0000,44510318.000,60520.0000,171402.0000,50140.0000,94145.0000,14820.0000,13694.0000,5950.0000,5824.0000,206860.0000,2747454.0000,232930.0000,2962821.0000,6690.0000,11905.0000,8260.0000,35246.0000,79510.0000,565487.0000,224280.0000,948441.0000,219180.0000,824053.0000,6390.0000,123082.0000
01,AL,01,1,5200.0000,3340.0000,1480.0000,230.0000,3720.0000,650.0000,2970.0000,1780.0000,60.0000,7490.0000,60.0000,60.0000,0.0000,0.0000,370.0000,2310.0000,-193312.0000,3050.0000,-190221.0000,860.0000,35725.0000,1170.0000,3038.0000,120.0000,616.0000,710.0000,3871.0000,640.0000,2382.0000,30.0000,40.0000,1800.0000,-48765.0000,1040.0000,13840.0000,260.0000,3000.0000,430.0000,5439.0000,222.0000,40.0000,271.0000,0.0000,0.0000,740.0000,-82267.0000,630.0000,-3580.0000,620.0000,3091.0000,0.0000,0.0000,0.0000,0.0000,170.0000,946.0000,30.0000,150.0000,70.0000,96.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.0000,86.0000,0.0000,0.0000,320.0000,50.0000,70.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,7.0000,0.0000,0.0000,390.0000,922.0000,870.0000,10639.0000,920.0000,10851.0000,2620.0000,14313.0000,270.0000,356.0000,180.0000,66.0000,50.0000,103.0000,30.0000,136.0000,0.0000,0.0000,180.0000,243.0000,170.0000,481.0000,220.0000,210.0000,330.0000,380.0000,270.0000,74.0000,740.0000,1268.0000,0.0000,0.0000,0.0000,0.0000,500.0000,610.0000,2470.0000,13650.0000,2380.0000,11302.0000,100.0000,2290.0000
01,AL,01,2,32700.0000,25680.0000,3230.0000,3240.0000,28760.0000,2040.0000,15600.0000,19110.0000,260.0000,34680.0000,1050.0000,570.0000,480.0000,200.0000,4910.0000,8560.0000,175322.0000,32700.0000,180055.0000,21120.0000,140625.0000,4830.0000,2276.0000,320.0000,571.0000,2520.0000,4175.0000,2280.0000,2673.0000,80.0000,54.0000,8030.0000,8969.0000,2330.0000,1589.0000,1770.0000,8036.0000,3700.0000,19369.0000,167.0000,420.0000,1714.0000,260.0000,789.0000,420.0000,-3810.0000,900.0000,506.0000,6220.0000,4733.0000,70.0000,17.0000,0.0000,0.0000,390.0000,1129.0000,70.0000,233.0000,220.0000,239.0000,32350.0000,432433.0000,32350.0000,418966.0000,6760.0000,13467.0000,350.0000,7303.0000,1760.0000,260.0000,4502.0000,130.0000,284.0000,170.0000,141.0000,150.0000,302.0000,110.0000,44.0000,320.0000,718.0000,320.0000,745.0000,120.0000,1015.0000,0.0000,0.0000,0.0000,0.0000,30.0000,43.0000,180.0000,312.0000,0.0000,0.0000,50.0000,11.0000,530.0000,1294.0000,1410.0000,294.0000,0.0000,0.0000,1050.0000,178.0000,430.0000,55.0000,90.0000,3.0000,0.0000,0.0000,90.0000,7.0000,30.0000,2.0000,170.0000,30.0000,0.0000,0.0000,5760.0000,4327.0000,2890.0000,26952.0000,3040.0000,27962.0000,24750.0000,36014.0000,11190.0000,12524.0000,7360.0000,3145.0000,2540.0000,5763.0000,940.0000,2562.0000,350.0000,1087037.0000,9460.0000,10501.0000,3110.0000,2576.0000,1490.0000,1369.0000,770.0000,521.0000,1090.0000,236.0000,6990.0000,4749.0000,0.0000,0.0000,0.0000,0.0000,3730.0000,1815.0000,22980.0000,33072.0000,22860.0000,32727.0000,160.0000,342.0000
